PolicyNo,InceptionDate,ExpiryDate,Region,Industry,RevenueBand,Employees,CyberControlsScore,Underwriter,Premium,ClaimsCount,ClaimsAmount,Year,Month,LossRatio,Frequency,Severity
POL100000,2024-04-12,2025-04-12,UK,Retail,<100k,1,41.4,UW-D,240.25,0,0.0,2024,4,0.0,0,0.0
POL100001,2024-12-14,2025-12-14,UK,Healthcare,<100k,2,83.5,UW-B,209.87,0,0.0,2024,12,0.0,0,0.0
POL100002,2024-09-27,2025-09-27,EMEA,Tech,100k-500k,19,65.4,UW-D,809.03,0,0.0,2024,9,0.0,0,0.0
POL100003,2024-04-16,2025-04-16,EMEA,Professional Services,100k-500k,18,57.5,UW-B,915.95,0,0.0,2024,4,0.0,0,0.0
POL100004,2024-03-12,2025-03-12,UK,Tech,500k-2m,23,67.3,UW-A,2904.23,0,0.0,2024,3,0.0,0,0.0
POL100005,2024-07-07,2025-07-07,UK,Tech,<100k,5,76.0,UW-A,219.48,0,0.0,2024,7,0.0,0,0.0
POL100006,2024-01-21,2025-01-20,US,Tech,<100k,4,85.5,UW-A,205.48,0,0.0,2024,1,0.0,0,0.0
POL100007,2024-04-12,2025-04-12,US,Retail,500k-2m,53,69.2,UW-B,2903.36,0,0.0,2024,4,0.0,0,0.0
POL100008,2024-05-01,2025-05-01,APAC,Manufacturing,<100k,4,51.6,UW-A,226.87,0,0.0,2024,5,0.0,0,0.0
POL100009,2024-08-02,2025-08-02,US,Retail,100k-500k,5,65.8,UW-B,901.1,1,1395.31,2024,8,1.5484518921318389,1,1395.31
POL100010,2024-11-26,2025-11-26,US,Professional Services,2m-10m,201,90.2,UW-D,7268.87,0,0.0,2024,11,0.0,0,0.0
POL100011,2024-03-28,2025-03-28,APAC,Tech,<100k,4,85.2,UW-C,222.77,0,0.0,2024,3,0.0,0,0.0
POL100012,2024-04-09,2025-04-09,UK,Retail,<100k,5,78.6,UW-C,213.05,0,0.0,2024,4,0.0,0,0.0
POL100013,2024-12-25,2025-12-25,UK,Professional Services,100k-500k,10,76.8,UW-A,810.89,0,0.0,2024,12,0.0,0,0.0
POL100014,2024-05-31,2025-05-31,US,Healthcare,100k-500k,15,75.3,UW-B,861.49,0,0.0,2024,5,0.0,0,0.0
POL100015,2024-05-10,2025-05-10,UK,Other,100k-500k,12,82.3,UW-A,881.38,0,0.0,2024,5,0.0,0,0.0
POL100016,2024-05-29,2025-05-29,UK,Tech,500k-2m,26,57.9,UW-D,3073.25,0,0.0,2024,5,0.0,0,0.0
POL100017,2024-11-04,2025-11-04,UK,Tech,<100k,4,44.6,UW-A,247.32,0,0.0,2024,11,0.0,0,0.0
